Word,Definition
προσκαρτερέω,persist obstinately in
προσκαταγιγνώσκω,condemn besides
προσκαταλέγω,enrol besides
προσκατασκευάζω,furnish
προσκατατίθημι,pay down besides
προσκεφάλαιον,"cushion for the head, pillow"
προσκηδής,bringing into alliance
προσκινέομαι,move to
προσκλάομαι,to be shattered
προσκλύζω,wash with waves
προσκόπτω,strike
προσκομίζω,carry
προσκοπέω,"consider beforehand, look to, provide for"
προσκρούω,knock against
προσκτάομαι,"gain, get"
προσκύνησις,"adoration, obeisance"
προσκύπτω,stoop to
προσκυλινδέομαι,roll to
προσκυνέω,make obeisance
προσκυρέω,"reach, arrive at"
προσλαγχάνω,obtain by lot besides
προσλαμβάνω,take
προσλέγομαι,to lie beside
προσλιπαρέω,keep close to
προσλογίζομαι,reckon
προσμάσσω,knead
προσμάω,a
προσμανθάνω,learn besides
προσμένω,"bide, wait"
προσμείγνυμι,make to reach
προσμειδιάω,smile upon
προσμελῳδέω,sing songs to
προσμεταπέμπομαι,send for
προσμηχανάομαι,to be cunningly fastened to
προσμυθέομαι,"address, accost"
προσνέμω,"allot, assign, dedicate to"
προσνέω,swim to
προσνέω,heap up against
προσνεύω,incline
προσνομίζω,bring into use
προσόδιος,processional
προσόμοιος,"nearly like, much like"
προσοδεύομαι,to receive income
προσοδεύω,accrue
προσοδιάζω,receive as income
προσοφείλω,owe besides
προσοφλισκάνω,owe besides
προσοικέω,dwell by
προσοιστέος,to be added to
προσομιλέω,"hold intercourse with, associate with"
προσομοιάζω,"to be like,"
προσομοιόω,compare
προσομολογέω,concede
προσονομάζω,call by a name
προσοράω,"look at, behold"
προσορέω,border on
προσορίζω,"include within boundaries, add to a dominion"
προσορμίζομαι,to come to anchor near
προσορμίζω,bring
προσουρέω,make water upon
προσπάσχω,experience in addition
προσπάω,draw on
προσπαίζω,play
προσπαλαίω,wrestle
προσπαθέω,feel passionate love for
προσπαραγράφω,"write besides, add"
προσπασσαλεύω,nail fast to
προσπέλασις,bringing
προσπέμπω,send to
προσπέτομαι,fly to
προσπελάζω,"cause to approach, bring near to"
προσπηδάω,leap against
προσπίτνω,fall upon
προσπιστεύω,believe besides
προσπλάσσω,form
προσπλάζω,beat
προσπλέκω,connect with
προσπλέω,sail towards
προσπληρόω,fill up
προσπνέω,blow
προσποίημα,"that which one takes to oneself unduly, pretence, assumption"
προσποίησις,"taking something to oneself, acquisition"
προσποιέω,"make over to, add"
προσποιητής,"simulator,"
προσποιητός,"taken to oneself, assumed, affected, pretended"
προσπολέω,"attend, serve"
προσπολεμέω,carry on war against
προσπολεμόομαι,"make one's enemy besides, go to war with besides"
προσπονέομαι,"labour, toil"
προσπορίζω,procure
προσπορπατός,fastened on
προσπταίω,hurt by striking against
προσπτύσσω,embrace
προσπτύω,spit upon
προσθέω,run towards
προσθετέον,one must add
προσθετέος,one must attribute
προσθήκη,"addition, appendage, supplement"
προσθιγγάνω,touch
προσθόδομος,chief of a house
προσθροέω,"address, call by name"
προσράσσω,dash against
προσραίνω,Abh.Berl. Akad.
προσρέω,"flow towards a point, stream in, assemble"
προσρήγνυμι,dash
προσρίπτω,throw to
προσσαίνω,"fawn upon, coax"
προσσέβω,"worship, honour besides"
προσστάζω,"drop on, shed over"
προσσωρεύω,heap up beside
προστάς,part between the two antae
προστάσσω,place
προστάτης,"one who stands before, front-rank man"
προσταλαιπωρέω,"hold out, persevere,"
προστασία,"standing in front,"
προστατέω,"ruleover, lord it over"
προστατεύω,to be leader
προστατήριος,standing before
προσταυρόω,draw a stockade in front of
προστέλλω,sends him forth as a champion
προστένω,sigh
προστειχίζω,include in the city-wall
προστερνίδιον,covering
προστήκομαι,"stick fast to, cling to"
προστίμησις,infliction of a further penalty
προστίθημι,put to
προστιλάω,befoul with dung
προστιμάω,award further penalty
προστόμιον,mouth
προστρέπω,turn towards
προστρέχω,run to
προστρίβω,rub on
προστρόπαιος,turning oneself towards
προστροπή,turning
προστυγχάνω,obtain one's share of
προστυχής,engaged in
προσυπάρχω,exist besides
προσυπέχω,to be answerable also for
προσυπισχνέομαι,promise besides
προσωνέομαι,buy besides
προσωνυμία,surname
προσωπεῖον,mask
προσωτέρω,further on
προσχάσκω,gape
προσχέω,pour to
προσχράομαι,use
προσχρῄζω,require
προσχώννυμι,heap upon
προσχωρέω,"go to, approach"
προσψαύω,"touch upon, touch"
προσψηφίζομαι,vote besides
προσζεύγνυμαι,to be attached to
προσζημιόω,punish besides
προτάσσω,place
προτακτέον,one must place in front
προτακτέος,one must place in front
προταρβέω,fear beforehand
προτέλεια,"previous payment, advance,"
προτέλειος,before a ceremony of initiation
προτέμνω,cut off beforehand
προτένθης,those who celebrated the
προτέρω,"further, forwards"
προτέρωσε,"toward the front, forward,"
προτείνω,"stretch out before, hold before"
προτείχισμα,"advanced fortification, outwork"
προτελέω,pay
προτελειόω,perform preliminary initiation
προτενής,fore-stretching
προτεραῖος,previous to
προτερέω,"to be before, be in advance"
προτερηγενής,"born sooner, older"
προτίμησις,honouring before
προτίθημι,"set before, set out"
προτίω,"prefer in honour, prefer"
προτιμάω,honour
προτιόσσομαι,look at
προτομή,front part cut off
προτοῦ,"ere this, aforetime, erst, formerly"
προτρέπω,urge forwards
προτρέχω,run forward
προτρεπτικός,hortatory
προτροπάδην,turned forwards
προτροπή,"exhortation, encouragement"
προτρύγαιος,presiding over the vintage
προτύπτω,press forward
προτυγχάνω,happen
προὔργου,serving for
προυφαιρέω,to filch beforehand
προυπάρχω,to be beforehand in
προυσελέω,"treat with contumely, outrage, maltreat"
προώστης,"projecting beam, swing-beam"
προωθέω,"push forward, propel"
προχαλκεύω,forge beforehand
προχέω,pour forth
προχειρίζω,make
προχειρόομαι,to be subdued before
προχειροτονέω,"choose, elect before"
προχόω,"pile in front, heap up"
προχοή,outpouring
προχοίς,a chamberpot
προχύται,flowers
προχύτης,"jug, pitcher"
προχυτός,poured out in front
προχωρέω,go
πρύμνα,"stern, poop"
πρύμνηθεν,from the stern
πρύτανις,"ruler, lord"
πρυμναῖος,of a stern
πρυμνήσιος,of a stern
πρυμνήτης,steersman
πρυμνόθεν,from the bottom
πρυμνός,"hindmost, undermost, end-most"
πρυτάνειος,of
πρυτανεία,presidency
πρυτανεία,the prytany
πρυτανεῖον,"the magistrates' hall, town hall"
πρυτανεύω,to be
πρώην,"lately, just now"
πρώιος,early
πρών,"foreland, headland"
πρώταρχος,primal
πρώτειος,of the first quality
πρώτιστος,the very first
πρῶτος,first
πρῷρα,"forepart of a ship, prow"
πρωί,"early in the day, early, at morn"
πρωκτίζω,paedico
πρωκτός,anus
πρωκτοπεντετηρίς,quinquennial debauchery
πρωκτοτηρέω,to be a watcher of
πρωθήβης,in the prime of youth
πρωτεῖον,"chief rank, first place"
πρωτεύς,eyesalve
πρωτεύω,"to be the first, hold first place"
πρωτόμαντις,first prophet
πρωτόπειρος,"making the first trial, a novice"
πρωτός,destined
πρωτοφυής,"first-produced, first-born"
πρωτοκτόνος,of first homicide
πρωτοκύμων,pregnant for the first time
πρωτομύστης,"one just initiated,"
πρωτοπήμων,first cause of ill
πρῳρατεύω,to be a
πρῳρεύς,officer in command at the bow
πταίω,cause to stumble
πταῖσμα,"stumble, trip, false step, mistake"
πταρμός,sneezing
πτέρινος,made of feathers
πτέρνα,the heel
πτέρνη,heel
πτέρυξ,wing
πτέρωμα,that which is feathered
πτέρων,a bird
πτέρωσις,plumage
πτελέα,"elm, Ulmus glabra"
πτερόεις,"feathered, winged"
πτερόν,feathers
πτερόω,furnish with feathers
πτεροδόνητος,moved by flapping wings
πτεροφόρας,wing worn
πτεροφόρος,"feathered, winged"
πτεροποίκιλος,motleyfeathered
πτερορρυέω,"shed the feathers, moult"
πτερύγιον,anything like a wing.
πτερύσσομαι,"flutter, flap the wings"
πτερυγίζω,flutter with the wings
πτερυγόω,fly
πτερυγοποίκιλος,with particoloured wings
πτερυγωκής,fleet of wing
πτερυγωτός,winged
πτερωτός,feathered
πτήσσω,"scare, alarm"
πτῆσις,flight
πτηνός,"flying, winged"
πτίλον,soft feathers
πτίλος,suffering from
πτίσσω,winnow grain
πτιλόω,furnish with feathers
πτισάνη,peeled barley
πτισάνης,one who shells
πτόα,"abject fear, terror"
πτόρθος,"young branch, shoot, sucker, sapling"
πτοέω,"terrify, scare,"
πτοιέω,were  dismayed
πτολίεθρον,citadel
πτολίπορθος,sacking
πτύξ,"layer, plate"
πτύσις,spitting
πτύσσω,"fold, double up"
πτύω,spit out
πτυκτός,folded
πτώξ,cowering animal
πτώσιμος,"having fallen, fallen"
πτῶμα,fall
πτῶσις,"falling, fall"
πτωκάς,timorous
πτωματίς,tumbler
πτωχεύω,"to be a beggar, go begging"
πτωχικός,of
πτωχός,beggar
πτωχοποιός,drawing beggarly characters
πύξ,with the fist
πύξος,"box, Buxus sempervirens"
πύγαργος,white-rump
πύκα,"thickly,  strongly"
πύκνωμα,thick cloth
πύκνωσις,condensation
πύκτης,boxer
πύλη,one wing of a pair of double gates
πύλος,in the  gateway
πύλωμα,gateway
πύματος,"hindmost, last"
πύον,"discharge from a sore, matter"
πύθω,cause to rot
πύρεθρον,"pellitory, Anacyclus Pyrethrum"
πύρφορος,fire-bearing
πύργινος,tower-like
πύργος,tower
πύργωμα,"that which is furnished with towers, fenced city"
πύρπνοος,fire-breathing
πύρπνους,firebreathing
πύρπολος,"wasting with fire, burning"
πύρρα,a red-coloured bird
πύρριχος,red
πύσμα,question
πύστις,inquiry
πῦρ,fire
πυξίον,tablet of box-wood
πυδαρίζω,dance the fling
πυέλος,an oblong trough
πυετία,curdled milk obtained from an animal's stomach
πυγαῖος,of
πυγή,"rump, buttocks"
πυγίδιον,a thin rump
πυγίζω,paedico
πυγμαχέω,"practise boxing, be a boxer"
πυγμαχία,boxing
πυγμή,fist
πυγών,the distance from the elbow to the first joint of the fingers
πυκάζω,cover closely
πυκινός,shrewd
πυκνάζω,"to be frequent,"
πυκνίτης,assembled in the Pnyx
πυκνός,"close, compact."
πυκνότης,"closeness, thickness, denseness, solidity"
πυκνόω,make close
πυκτεύω,"box, spar"
πυκτή,"tablets, diptych,"
πυλαῖος,at
πυλαωρός,gate-keeper
πυλεών,wreath
πυλίς,"little gate, postern"
πυλόω,furnish with gates
πυλών,gateway
πυλωρέω,keep the gate
πυλωρός,"gate-keeper, warder, porter"
πυνθάνομαι,learn
πυός,"the first milk after the birth, beestings"
πυός,first milk after the birth
πυόω,cause to suppurate
πυθμενέω,to be a base of a series
πυθμήν,bottom
πυρά,watch-fires
πυρά,funeral-pyre
πυράζω,singe
πυραμίς,pyramid
πυραμοῦς,cake of roasted wheat and honey
πυραύστης,moth that gets singed in the candle
πυρέσσω,"to be feverish, fall ill of a fever"
πυρεῖον,"firesticks,"
πυρετός,"burning heat, fiery heat"
πυρεύς,one who lights fire
πυρφόρος,fire-bearing
πυρφορέω,to be a torch-bearer
πυργηδόν,towerwise
πυργηρέομαι,"to be shut up as in a tower, beleaguered"
πυργίσκος,burial-vault
πυργόω,gird
πυργοδάικτος,destroying towers
πυργοφύλαξ,"tower-guard, warder"
πυργομαχέω,assault a tower
πυργῶτις,towering
πυρή,any place where fire is kindled
πυρήν,stone
πυρία,vapour-bath
πυρίασις,warming by a vapour bath
πυρίδαπτος,devoured by fire
πυρίδιον,spark
πυρίφατος,slain by fire
πυρίπνους,"fire-breathing, fiery"
πυριάω,put
πυριφλεγής,"flaming with fire, blazing"
πυριγενέτης,fire-wrought
πυριγόνος,producing fire
πυριθαλπής,heated in the fire
πυρκαιά,"any place where fire is kindled, a funeral pyre"
πυρόεις,fiery
πυρός,"wheat, Triticum vulgare"
πυρόω,"burn with fire, burn up"
πυροφόρος,inflammatory missiles
πυροφόρος,wheat-bearing
πυροφορέω,bear wheat
πυροφορέω,to be
πυροπίπης,corn-ogler
πυρορραγής,bursting in the fire
πυρπόλος,"wasting with fire, burning"
πυρπολέω,"light and keep up a fire, watch a fire"
πυρράζω,to be fiery red
πυρρίας,red-coloured serpent
πυρρίχη,war-dance
πυρριχίζω,dance the
πυρριχιστής,dancer of the
πυρρόομαι,become red
πυρρόθριξ,red-haired
πυρρός,"flame-coloured, yellowish-red"
πυρροπίπης,one that ogles young boys
πυρσεύω,"light up, kindle"
πυρσός,"firebrand, torch"
πυρώδης,cereal
πυρώδης,"like fire, fiery"
πυρωπός,"fiery-eyed, fiery"
πυτιναῖος,of a
πυώδης,like pus
πώγων,beard
πώλευσις,horsebreaking
πώλης,"seller, dealer"
πώποτε,ever yet
πω,"up to this time, yet"
πω,"up to this time, yet"
πῶ,where?
πῶ,drink!
πῶλος,foal
πῶμα,"lid, cover"
πῶμα,"drink, draught"
πῶρος,stone
πῶς,how?
πῶς,how? in what way
πῶυ,flock
πωλέομαι,go up and down
πωλέω,sell
πωλεύω,break in a young horse
πωλευτής,horsebreaker
πωλητήριον,"place where wares are sold, auction-room, shop"
πωλητής,seller
πωλητός,for sale
πωλίον,pony
πωλικός,"of foals, fillies"
πωλότροφος,rearing young horses
πωλοδαμνικός,of
πωλοτρόφος,rearing young horses
πωλοτροφέω,rear
πωλοτροφικός,of
πωμάζω,furnish with a lid
πωρός,miserable
πωρόω,petrify
πως,"in any way, at all, by any means"
πως,"in any way, at all, by any means"
πωτάομαι,fly about
θάλαμόνδε,to the bed-chamber
θάλαμος,an inner room
θάλασσα,sea
θάλλω,"sprout, grow, thrive"
θάλος,"scion, child"
θάλπος,"warmth, heat"
θάλπω,"heat, soften by heat"
θάλψις,"warming, fomenting"
θάμβος,amazement
θάμνα,wine from pressed grapes
θάμνος,"bush, shrub"
θάνατος,death
θάομαι,"to wonder at, admire"
θάομαι,suck
θάπτω,honour with funeral rites
θάρσος,courage
θάρσυνος,relying on
θάσσω,"sit, sit idle"
θάσσων,"quicker, swifter"
θάω,to suck
θάψος,"fustic, Rhus Cotinus, used for dyeing yellow"
θᾶκος,"seat, chair"
θαάσσω,sit
θακέω,sit
θαλάμη,"lurkingplace, den, lair"
θαλάσσιος,"of, in, on"
θαλαμήιος,of
θαλαμήπολος,"attendant in a lady's chamber, waiting-maid"
θαλαμηπόλος,"a chamber-maid, waiting maid"
θαλαμηπολέω,to be a
θαλαμίτης,one of the rowers on the lowest bench
θαλαμιός,of
θαλαμόνδε,to the bed-chamber
θαλασσεύς,fisherman
θαλασσεύω,to be at sea
θαλασσίζω,resemble sea-water
θαλασσόπλαγκτος,"made to wander o'er the sea, seatost"
θαλασσόπληκτος,sea-beaten
θαλασσοβίωτος,living on
θαλασσοκοπέω,"strike the sea with the oar, make a splash"
θαλασσοκράτωρ,master of the sea
θαλασσοκρατέω,to be master of the sea
θαλασσουργέω,to be busy with the sea
θαλασσουργός,"one who works on the sea, a fisherman"
θαλέθω,"bloom, thrive"
θαλερός,"stout, sturdy, buxom"
θαλία,"abundance, good cheer"
θαλιάζω,"enjoy oneself, make merry"
θαλλός,"young shoot, young branch"
θαμά,often
θαμβέω,to be astounded
θαμβός,astonished
θαμέες,"crowded, close-set"
θαμίζω,come often
θαμινός,"crowded, close-set"
θανάσιμος,"deadly, fatal"
θανάτωσις,putting to death
θανατάω,desire to die
θανατήφορος,death-bringing
θανατηφόρος,"death-bringing, mortal"
θανατικός,deadly
θανατόω,put to death
θανατώδης,indicating death
θαρσαλέος,daring
θαρσέω,to be of good courage
θαρσούντως,boldly
θαρσύνω,"encourage, embolden"
θαῦμα,"wonder, marvel"
θαυμάσιος,"wonderful, marvellous"
θαυμάζω,"wonder, marvel"
θαυμαστής,admirer
θαυμαστός,"wonderful, marvellous"
θαυμαστόω,magnify
θαυματός,ṇ
θαυματοποιέω,"do wonders, play jugglers' tricks"
θαυματοποιός,wonder-working
θέα,"a seeing, looking at, view"
θέα,"seeing, looking at"
θέαινα,goddess
θέαμα,"sight, spectacle"
θέασις,contemplation
θέατρον,place for seeing
θέλξις,an enchanting
θέλεος,willing
θέλγω,"enchant, be witch"
θέλημα,will
θέλησις,"a willing, will,"
θέμεθλα,"foundations, lowest part"
θέμις,that which is laid down
θέναρ,palm of the hand
θέορτος,sprung from the gods
θέρειος,"of summer, in summer"
θέρμανσις,heating
θέρμη,heat
θέρμος,a lupine
θέρμος,"lupine, Lupinus albus"
θέρμω,"heat, make hot"
θέρος,summer
θέρω,"heat, make hot"
θέσφατος,"spoken by God, decreed"
θέσις,"setting, placing"
θέσκελος,set in motion by God
θέσμιος,"fixed, settled, lawful"
θέσπις,"filled with the words of God, inspired"
θέσσασθαι,pray for
θέω,dhávate
θέω,"shine, gleam"
θεά,goddess
θεάομαι,"gaze at, behold"
θεατής,one who sees
θεατός,to be seen
θεήλατος,driven by a god
θεηλατέομαι,to be visited by God
θεία,one's father's
θείνω,strike
θεῖος,of
θεῖος,one's father's
θειάζω,"to be inspired, frenzied"
θειασμός,superstition
θειόω,fumigate with brimstone
θειώδης,sulphureous
θειώδης,divine.
θελήμων,voluntary
θελκτήριον,"charm, spell"
θελκτήριος,"enchanting, soothing"
θεμέλιος,of
θεμελιόω,"to lay the foundation of, found firmly"
θεμερῶπις,grave and sedate of look
θεμιστεύω,declare law and right
θεμιστός,oracular
θεμιστοῦχος,upholding right
θεμιτός,"allowed by the laws of God and men, righteous"
θεόφορος,bearing
θεόκλυτος,calling on the gods
θεόκραντος,accomplished
θεόκτιτος,created by God
θεόληπτος,"possessed, inspired"
θεόμαντις,"one who has a spirit of prophecy, an inspired person"
θεόπεμπτος,sent by the gods
θεόπτυστος,detested by the gods
θεόθεν,from the gods
θεός,"God, the Deity"
θεόσεπτος,feared as divine
θεόσυτος,sent by the gods
θεότρεπτος,turned by the gods
θεόω,"make into God, deify"
θεοβλάβεια,"infatuation sent by the gods, madness"
θεοβλαβέω,to be
θεοφάνια,"festival at Delphi, at which the statues of Apollo and other gods were shown to the people"
θεοφιλής,"dear to the gods, highly favoured"
θεοφόρητος,"possessed by a god, inspired"
θεογονία,genealogy of the gods
θεοκλυτέω,call on the gods
θεολόγια,"dei proverbia,"
θεολογία,science of things divine
θεομανής,maddened by the gods
θεομήστωρ,like the gods in counsel
θεομισής,hated by the gods
θεομορία,destiny
θεομυσής,abominable before the gods
θεοπρεπής,meet for a god
θεοπρόπιον,"a prophecy, oracle"
θεοπρόπος,prophetic
θεοπροπέω,prophesy
θεοπροπία,"prophecy, oracle"
θεοσέβεια,service
θεοσεβέω,serve God
θεοσεβής,"fearing God, religious"
θεοσυλία,sacrilege
θεοτίμητος,honoured by the gods
θεούδεια,fear of God
θεουδής,fearing God
θεράπαινα,handmaid
θεράπευμα,a service done to another
θεράπευσις,"treatment, attention"
θεράπνη,handmaid
θεράπων,An Ox.
θεραπεία,"service, attendance"
θεραπεύω,"to be an attendant, do service"
θεραπευτήρ,attendant
θεραπευτής,"one who serves the gods, worshipper"
θεραπευτικός,inclined to serve
θεραπευτός,that may be fostered
θεραποντίς,of a waiting-maid
θερίζω,"do summer-work, mow, reap"
θερινός,Aër.
θερισμός,"mowing, reaping"
θερμαίνω,"warm, heat"
θερμασία,"warmth, heat"
θερμόβουλος,"hot-tempered, rash"
θερμόνους,heated in mind
θερμός,hot
θερμουργία,hasty act
θεσφατηλόγος,prophetic
θεσμός,"that which is laid down, law, ordinance"
θεσμοφόριον,temple of Demeter
θεσμοφοριάζω,keep the Thesmophoria
θεσμοθέτης,"lawgiver, legislator"
θεσμοθετέω,to be a
θεσπέσιος,"divinely sounding, divinely sweet"
θεσπίζω,"prophesy, foretell"
θεσπιῳδέω,to be a
θεσπιῳδός,singing in prophetic strain
θετέος,to be countedas
θετός,"placed, set"
θεῦσις,running
θεώριος,box
θεωρέω,to be a
θεωρητής,spectator
θεωρητικός,able to perceive
θεωρητός,that may be seen
θεωρία,sending of
θεωρίς,"sacred ship, which carried the"
θεωρικός,of
θεωρός,envoy sent to consult an oracle
θήγω,"sharpen, whet"
θήκη,"case, chest"
θήν,surely now
θήρ,beast of prey
θήρα,"hunting of wild beasts, the chase"
θήραμα,"prey, spoil"
θήρατρον,"instrument of the chase, net, trap"
θήρειος,of wild beasts
θής,"serf, bondsman"
θῆλυς,female
θῆσσα,"tensa, sacred car"
θηγάνη,whetstone
θηγός,sharp
θηητός,"gazed at, wondrous, admirable"
θηλάζω,suckle
θηλέω,"to be full of, abound in"
θηλή,"teat, nipple"
θηλύφρων,effeminate
θηλύφωνος,with woman's voice
θηλύνοος,of womanish mind
θηλύνω,Aër.
θηλύσπορος,of female kind
θηλυδριώδης,effeminate
θηλυφόνος,killing women
θηλυγενής,"of female sex, womanish"
θηλυγόνος,generating females
θηλυκρατής,swaying women
θηλυκτόνος,slaying by woman's hand
θηράσιμος,to be hunted down
θηράω,"hunt, chase"
θηρατής,hunter
θηρατικός,given by the hunter
θηρατός,to be caught
θηρεία,"hunting,"
θηρεύω,hunt
θηρευτής,hunter
θηρευτικός,of
θηρίον,wild animal
θηριάζομαι,pass into a beast
θηριόω,make into a wild beast
θηριώδης,"full of wild beasts, infested by them"
θηρότροφος,feeding on beasts
θηροφόνος,killing wild beasts
θηροφονέω,slay beasts
θηροφονεύς,slayer of beasts
θηροτρόφος,feeding wild beasts
θησαύρισμα,"store, treasure"
θησαυρίζω,"store, treasure up"
θησαυρός,"store, treasure"
θητεία,"hired service, service"
θητεύω,to be a serf
θίασος,"Bacchic revel, rout"
θίξις,touching
θίς,heap
θιασώτης,member of a
θιγγάνω,"touch, handle"
θλάω,"crush, bruise"
θλίβω,"squeeze, chafe"
θλιβή,a rubbing
θνήσκω,"to die, be dying"
θνησείδιον,carcase of an animal
θνητός,"liable to death, mortal"
θόλος,"round building with conical roof, rotunda"
θόρυβος,noise
θοάς,"fleet, swift"
θοάζω,"move quickly, ply rapidly"
θοάζω,sit
θοίνη,"meal, feast"
θοινάω,"feast on, eat"
θοινατήρ,one who gives a feast
θολερός,"muddy, foul, turbid"
θολός,"mud, dirt"
θολόω,make turbid
θοός,"quick, nimble"
θοός,"pointed, sharp"
θοόω,make sharp
θορός,semen genitale
θορυβέω,"make a noise, uproar"
θορυβητικός,"uproarious, turbulent"
θορυβοποιέω,make an uproar
θορυβώδης,"uproarious, turbulent"
θοῦρος,"rushing, impetuous, furious"
θουράω,rush
θράομαι,to be seated
θράσος,courage
θράσσω,"trouble, disquiet"
θρᾶνος,"bench, form"
θρανεύομαι,"to be stretched on the tanner's board, tanned"
θρανίον,the rower's bench
θρανίτης,rower on the topmost of the three benches
θρασύνω,"embolden, encourage"
θρασύς,bold
θρασύσπλαγχνος,bold-hearted
θρασύστομος,"over-bold of tongue, insolent"
θρασύτης,over-boldness
θρασυκάρδιος,bold of heart
θρασυστομέω,to be over-bold of tongue
θραύω,"break in pieces, shatter"
θραῦμα,fragment
θραῦσις,comminution
θραῦσμα,scab
θραυσάντυξ,breaking
θρέμμα,"nursling, creature"
θρέομαι,"cry aloud, shriek"
θρέττε,the spirit's
θρέψις,nourishing
θρεπτήριος,"feeding, nourishing"
θρεττανελό,sound imitative of the cithara
θρῆνος,"dirge, lament"
θρηνέω,"sing a dirge, wail"
θρηνητήρ,"mourner, wailer"
θρηνώδης,"like a dirge, fit for a dirge"
θρησκεία,"religious worship, cult, ritual"
θρησκεύω,perform religious observances
θρίαμβος,hymn to Dionysus
θρίξ,hair
θρίσσα,a fish
θρῖναξ,a trident
θρῖον,fig-leaf
θριαμβεύω,triumph
θριαμβικός,triumphal
θριδάκινος,of lettuce
θριδακίνη,lettuce
θριγκός,"topmost course of stones in a wall, cornice, coping"
θριγκόω,surround with a
θριπήδεστος,worm-eaten
θρόμβος,lump
θρόνον,flowers embroidered on cloth
θρόνος,"seat, chair"
θρόος,noise
θροέω,cry aloud
θρομβόομαι,"to become clotted, curdled"
θρύμμα,"that which is broken off, bit"
θρύον,"reed, rush"
θρύπτω,"break in pieces, break small"
θρύψις,breaking in small pieces
θρῦλος,"noise as of many voices, murmur"
θρυαλλίς,"plantain, Plantago crassifolia"
θρυγονάω,tap at
θρυλέω,"make a confused noise, chatter, babble"
θρυπτικός,able to break
θρῴσκω,"leap, spring"
θρωσμός,springing
θύελλα,"hurricane, squall"
θύλακος,sack
θύλημα,that which is offered
θύμβρα,"savory, Satureia Thymbra"
θύμον,"Cretan thyme, Thymbra capitata"
θύμος,warty excrescence
θύμωμα,"wrath, passion"
θύννειος,of the tunny-fish
θύννος,tunny-fish
θύνω,"rush, dart along"
θύον,"thyine-wood, citron-wood, Callitris quadrivalvis"
θύος,burnt sacrifice
θύρα,door
θύραθεν,from outside the door
θύρασι,"at the door, without"
θύραζε,to the door
θύριον,"little door, wicket"
θύρσος,wand wreathed in ivy and vine-leaves with a pine-cone at the top
θύσανος,tassel
θύσιμος,fit for sacrifice
θύσις,raging
θύτης,sacrificer
θύω,offer by burning
θύω,"rage, seethe"
θύωμα,that which
θῦμα,"victim, sacrifice"
θυάω,rut
θυεία,mortar
θυγάτηρ,daughter
θυγάτριον,little daughter
θυγατριδῆ,"daughter's daughter, granddaughter"
θυγατριδοῦς,"daughter's son, grandson"
θυήεις,"smoking with incense, fragrant"
θυηφάγος,devouring offerings
θυηλή,part of a victim offered in burntsacrifice
θυηπόλος,"performing sacrifices, sacrificial"
θυηπολέω,perform sacrifices
θυηπολία,sacrificing
θυητά,fumigations
θυία,"odorous cedar, Juniperus foetidissima"
θυίω,to be inspired
θυιάς,"inspired, possessed woman"
θυμάλωψ,piece of burning wood
θυμαίνω,"to bewroth, angry"
θυμαλγής,heart-grieving
θυμαρής,suiting the heart
θυμβρεπίδειπνος,supping on bitter herbs
θυμβροφάγος,eating savory
θυμέλη,"place of burning, hearth"
θυμηδέω,to be glad-hearted
θυμηδής,"well-pleasing, dear"
θυμίαμα,incense
θυμίτης,flavoured with thyme
θυμιάω,burn so as to produce smoke
θυμιατήριον,censer
θυμικός,high-spirited
θυμόμαντις,prophesying from one's own soul
θυμός,"soul, spirit"
θυμόσοφος,wise from one's own soul
θυμόω,"make angry, provoke"
θυμοβόρος,eating the heart
θυμοβορέω,"gnaw, vex the heart"
θυμοδακής,biting the heart
θυμοειδής,high-spirited
θυμοφθόρος,"destroying the soul, life-destroying"
θυμολέων,lion-hearted
θυμώδης,fierce
θυμώδης,like thyme
θυννάζω,"spear a tunny-fish, strike with a harpoon"
θυννόσκοπος,watcher for tunnies
θυννοσκόπος,a tunny-watcher
θυννοσκοπέω,watch for tunnies
θυόω,fill with sweet smells
θυοσκέω,make burnt-offerings
θυράζω,thrust out of doors
θυραῖος,at the door
θυρεός,stone put against a door
θυρεόω,cover with a shield
θυρίς,window
θυριδόω,"make a window,"
θυρόκοπος,"knocking at the door, begging"
θυρόω,furnish with doors
θυροκόπος,"knocking at the door, begging"
θυροκοπέω,"knock at the door, break it open"
θυρσάζω,bear
θυρσόω,make into thyrsi
θυρών,"hall, antechamber"
θυρωρέω,to be a àoor-keeper
θυρωρός,"door-keeper, porter"
θυσανηδόν,fringe-like
θυσία,"burnt-offering, sacrifice"
θυσιάς,frenzied
θυσιάζω,sacrifice
θυστάς,sacrificial
θυτέον,one must sacrifice
θυτέος,one must sacrifice
θυτήρ,"sacrificer, slayer"
θυώδης,"smelling of incense, fragrant"
θυώδης,"smelling of incense, sweet-smelling"
θώραξ,corslet
θώρηξις,drinking to intoxication
θώς,"jackal, Canis aureus"
θῶμιγξ,"cord, string"
θωάζω,pay the penalty
θωή,penalty
θωκέω,"establish, settle"
θωμός,heap
θωός,bird
θωπεία,flattery
θωπεύω,"flatter, wheedle"
θωπευμάτια,bits of flattery
θωπευτικός,"disposed to flatter, fuwning"
θωράκιον,"breastwork, parapet"
θωρακεῖον,"breastwork, parapet"
θωρακίζω,arm with a breastplate
θωρήσσω,arm with a
θωύσσω,make a noise
ῥάβδος,"rod, wand"
ῥάβδουχος,one who carries a rod
ῥάξ,grape
